Total_order_count: 77
Total sales: 1239493
Products sold 2024-02-25:
Product: FreshAirLuftrenare, Total Quantity Sold: 25
Product: BrightViewSkrivbordslampa, Total Quantity Sold: 35
Product: EverGreenKrukväxt, Total Quantity Sold: 42
Product: BlueOceanFiskolja, Total Quantity Sold: 36
Product: ProBookLaptop, Total Quantity Sold: 13
Product: MountainBeansKaffebönor, Total Quantity Sold: 17
Product: UltraCleanDiskmedel, Total Quantity Sold: 7
Product: InfinityBookE-bokläsare, Total Quantity Sold: 35
Product: RainforestDuschgel, Total Quantity Sold: 29
Product: SolarMaxSolpanel, Total Quantity Sold: 10
Product: SmartShadeSolglasögon, Total Quantity Sold: 10
Product: VintageVineVinäger, Total Quantity Sold: 18
Product: SmartLockDörrlås, Total Quantity Sold: 39
Product: OceanBreezeSkaldjursmix, Total Quantity Sold: 19
Product: ArcticCoolKylskåp, Total Quantity Sold: 12
Product: SpiceWorldCurrypulver, Total Quantity Sold: 3
Product: SunDriedTomato, Total Quantity Sold: 28
Product: CrystalClearKällvatten, Total Quantity Sold: 11
Product: PureAromaDoftljus, Total Quantity Sold: 25
Product: BerryEssenceHallonsaft, Total Quantity Sold: 15
Product: SilverFlourFullkornsmjöl, Total Quantity Sold: 21
Product: MintyFreshMyntablad, Total Quantity Sold: 23
Product: HerbalTeaTorkadeteblad, Total Quantity Sold: 25
Product: DreamSoftKudde, Total Quantity Sold: 25
Product: RapidFireSpelkontroll, Total Quantity Sold: 1
Product: GoldenOatsHavregryn, Total Quantity Sold: 20
Product: EcoOilOlivolja, Total Quantity Sold: 20
Product: ZenGardenBonsaiträd, Total Quantity Sold: 8
Product: RubyRiceBasmatiris, Total Quantity Sold: 20
Product: OrganicMilkEkologiskMjölk, Total Quantity Sold: 10
Product: GourmetSelectionOlivolja, Total Quantity Sold: 15
Product: GreenLeafTeblad, Total Quantity Sold: 33
Product: MysticMoonYogabyxor, Total Quantity Sold: 16
Product: BlazingSpeedRouter, Total Quantity Sold: 16
Product: VineyardDreamsVindruvsjuice, Total Quantity Sold: 26
Product: FreshLemonCitronjuice, Total Quantity Sold: 16
Product: SuperFlexYogaMatta, Total Quantity Sold: 12
Product: CrispyCornMajskorn, Total Quantity Sold: 15
Product: GoldenWheatMjöl, Total Quantity Sold: 17
Product: HerbalGardenTorkadeörter, Total Quantity Sold: 7
Product: MountainExplorerRyggsäck, Total Quantity Sold: 23
Product: CrystalClearVattenglas, Total Quantity Sold: 11
Product: EcoSmartGlödlampa, Total Quantity Sold: 20
Product: PureMapleLönnsocker, Total Quantity Sold: 22
Product: SilverStreamVattenkokare, Total Quantity Sold: 2
Product: CycloneCykel, Total Quantity Sold: 6
Product: EcoPrintSkrivare, Total Quantity Sold: 6
Product: SpicyPepperChiliPulver, Total Quantity Sold: 9
Product: UltraFreshTandkräm, Total Quantity Sold: 22
Product: JavaBönor, Total Quantity Sold: 17
Product: GreenLeafTrädgårdsgödsel, Total Quantity Sold: 8
Product: ThunderboltUSB-Kabel, Total Quantity Sold: 17
Product: TechProSkruvmejselset, Total Quantity Sold: 5
Product: PureHoneyNaturligHonung, Total Quantity Sold: 35
Product: FreshSqueezeCitronsaft, Total Quantity Sold: 16
Product: ExoticEssenceEteriskaoljor, Total Quantity Sold: 20
Product: GrapeSeedOilDruvkärnolja, Total Quantity Sold: 4
Product: QuickChargePowerbank, Total Quantity Sold: 8
Product: QuietHomeLjudisolering, Total Quantity Sold: 19
Product: GoldenGranola, Total Quantity Sold: 12
Product: SilkySoySojamjölk, Total Quantity Sold: 7
Product: AquaPureVattenflaska, Total Quantity Sold: 13
Product: PureGelAloeVeraGel, Total Quantity Sold: 7
Product: CocoaRichChokladpulver, Total Quantity Sold: 15
Product: SunshineJuiceApelsinjuice, Total Quantity Sold: 4
Product: Omega-3Fiskolja, Total Quantity Sold: 25
Product: PowerBlendMixer, Total Quantity Sold: 9
Product: OrganicPeanutsJordnötter, Total Quantity Sold: 16
Product: SummerBreezeFläkt, Total Quantity Sold: 3
Product: TropicalMistKokosvatten, Total Quantity Sold: 20
Product: BerryBlastSmoothieblandning, Total Quantity Sold: 1
Product: PureSugarRörsocker, Total Quantity Sold: 4
Product: OrganicAlmondsMandlar, Total Quantity Sold: 5
Product: PowerJuiceBatterier, Total Quantity Sold: 6
Product: VitalWheatVetegroddar, Total Quantity Sold: 19
Product: NightVisionKikare, Total Quantity Sold: 6
